			estimate	standard error
environment covariance	Some pheno 103	Some pheno 106	0.7504964857396146	0.055887669966140224
environment covariance	Some pheno 103	Some pheno 107	0.23602389983785158	0.05406678415572442
environment covariance	Some pheno 103	Some pheno 108	-0.1737597843159979	0.05428127868583783
environment covariance	Some pheno 103	Some pheno 109	0.38035879232707476	0.054348220745682845
environment covariance	Some pheno 103	Some pheno 110	1.5819195074276744	0.06099864621239876
environment covariance	Some pheno 104	Some pheno 104	2.9552613463941504	0.07467569302886326
environment covariance	Some pheno 104	Some pheno 105	0.5550528563282193	0.0542790658852045
environment covariance	Some pheno 104	Some pheno 106	0.3190323973893858	0.053847729364018944
environment covariance	Some pheno 104	Some pheno 107	0.2950667732596189	0.05363255750627213
environment covariance	Some pheno 104	Some pheno 108	0.8114461634339547	0.055807883797065576
environment covariance	Some pheno 104	Some pheno 109	-0.5417557290861259	0.05422499684116876
environment covariance	Some pheno 104	Some pheno 110	-1.5185462513938919	0.0598850074021804
environment covariance	Some pheno 105	Some pheno 105	3.0117759960445682	0.07677809517818163
environment covariance	Some pheno 105	Some pheno 106	0.8075874314794149	0.0561600340897403
environment covariance	Some pheno 105	Some pheno 107	0.9052550844210485	0.05645179864523359
environment covariance	Some pheno 105	Some pheno 108	0.2288739634871016	0.05453961440456977
environment covariance	Some pheno 105	Some pheno 109	-0.4589981054799624	0.05479304110347862
environment covariance	Some pheno 105	Some pheno 110	0.3587347014321088	0.054401635999983024
environment covariance	Some pheno 106	Some pheno 106	3.0087853684083035	0.07710404059908628
environment covariance	Some pheno 106	Some pheno 107	-0.1040883229553451	0.054291111309962684
environment covariance	Some pheno 106	Some pheno 108	-0.35999567123377074	0.05497898112694901
environment covariance	Some pheno 106	Some pheno 109	0.45597957039736514	0.05490567502090437
environment covariance	Some pheno 106	Some pheno 110	0.3814563401329697	0.05471594876809511
environment covariance	Some pheno 107	Some pheno 107	2.9723938325225214	0.07629493621450979
environment covariance	Some pheno 107	Some pheno 108	-0.9266164126230545	0.05627964485060533
environment covariance	Some pheno 107	Some pheno 109	-0.5641781718475042	0.05483296792730085
environment covariance	Some pheno 107	Some pheno 110	-1.943608365756036	0.06431169862189323
environment covariance	Some pheno 108	Some pheno 108	3.0211816689341138	0.07709942683002291
environment covariance	Some pheno 108	Some pheno 109	0.9808052911797988	0.05689015450443557
environment covariance	Some pheno 108	Some pheno 110	0.005732649202948913	0.05402836579415209
environment covariance	Some pheno 109	Some pheno 109	2.977493585972832	0.07637127765525972
environment covariance	Some pheno 109	Some pheno 110	0.9846783635882639	0.056560749544297476
environment covariance	Some pheno 110	Some pheno 110	2.959232823583194	0.07597759066208029
